,loss,accuracy,val_loss,val_accuracy,lr
0,1.2979387044906616,0.5319010615348816,7.064943790435791,0.5013020634651184,0.001
1,1.0899670124053955,0.5815755128860474,1.3315945863723755,0.4553385376930237,0.001
2,0.9724523425102234,0.60205078125,1.2940828800201416,0.541015625,0.001
3,0.8875265121459961,0.6195312738418579,0.9629355669021606,0.5804687738418579,0.001
4,0.8348129391670227,0.6354166865348816,0.9614970684051514,0.5709635615348816,0.001
5,0.7914324998855591,0.6596028804779053,0.9119500517845154,0.6109374761581421,0.001
6,0.7788641452789307,0.6698242425918579,1.245310664176941,0.4147135317325592,0.001
7,0.7597790360450745,0.6887369751930237,0.933172345161438,0.612109363079071,0.001
8,0.713174045085907,0.716113269329071,0.9239283204078674,0.6028645634651184,0.001
9,0.6861917972564697,0.7331705689430237,0.8033514022827148,0.662890613079071,0.001
10,0.651128888130188,0.75732421875,0.9864799380302429,0.6317708492279053,0.001
11,0.6293056011199951,0.7680013179779053,0.8425808548927307,0.6898437738418579,0.001
12,0.6167833209037781,0.776562511920929,1.0768485069274902,0.6018229126930237,0.001
13,0.5968965888023376,0.7922526001930237,0.7893896698951721,0.7063801884651184,0.001
14,0.5734960436820984,0.8069010376930237,0.991421639919281,0.649609386920929,0.001
15,0.553339958190918,0.8115234375,0.7073459625244141,0.7401041388511658,0.001
16,0.535801112651825,0.823046863079071,0.6748411059379578,0.750781238079071,0.001
17,0.5007838606834412,0.8396158814430237,0.7028650045394897,0.768750011920929,0.001
18,0.49615442752838135,0.8440755009651184,0.7250548005104065,0.740234375,0.001
19,0.48924732208251953,0.8479817509651184,0.6714179515838623,0.7643229365348816,0.001
20,0.4228805899620056,0.8761393427848816,0.39662301540374756,0.8882812261581421,0.00020000001
21,0.37959372997283936,0.8932942748069763,0.46206730604171753,0.8531249761581421,0.00020000001
22,0.3646712303161621,0.8958984613418579,0.3726247251033783,0.8962239623069763,0.00020000001
23,0.34927693009376526,0.8986979126930237,0.34552571177482605,0.901562511920929,0.00020000001
24,0.33926117420196533,0.9013020992279053,0.385855108499527,0.883593738079071,0.00020000001
25,0.3241041600704193,0.9058268070220947,0.3516831398010254,0.8963541388511658,0.00020000001
26,0.3114561438560486,0.9104817509651184,0.31182485818862915,0.9130208492279053,4.0000003e-05
27,0.3041895627975464,0.9128580689430237,0.3087337613105774,0.9149739742279053,4.0000003e-05
28,0.29996904730796814,0.9153645634651184,0.30431681871414185,0.9158853888511658,4.0000003e-05
29,0.29245632886886597,0.918164074420929,0.30705609917640686,0.9138020873069763,4.0000003e-05
30,0.2876236140727997,0.920605480670929,0.29991966485977173,0.9170572757720947,4.0000003e-05
31,0.2846517860889435,0.9196614623069763,0.30258908867836,0.9165364503860474,4.0000003e-05
32,0.28840476274490356,0.9169270992279053,0.2908872663974762,0.9200521111488342,4.0000003e-05
33,0.280987411737442,0.9198893308639526,0.2840265929698944,0.9220052361488342,4.0000003e-05
34,0.2756347954273224,0.9219400882720947,0.28782087564468384,0.9197916388511658,4.0000003e-05
35,0.2744833528995514,0.9231119751930237,0.2860548198223114,0.9213541746139526,4.0000003e-05
36,0.27426624298095703,0.92333984375,0.27882540225982666,0.9242187738418579,8.000001e-06
37,0.2694832384586334,0.9248697757720947,0.27865323424339294,0.9251301884651184,8.000001e-06
38,0.2705289423465729,0.9258463382720947,0.2796817719936371,0.9253906011581421,8.000001e-06
39,0.2669236958026886,0.9263671636581421,0.27982139587402344,0.9252604246139526,8.000001e-06
40,0.26888763904571533,0.9263997673988342,0.2780741751194,0.924609363079071,8.000001e-06
41,0.27456480264663696,0.9212890863418579,0.2759249806404114,0.9242187738418579,1.6000001e-06
42,0.269538015127182,0.9252278804779053,0.27544718980789185,0.9244791865348816,1.6000001e-06
43,0.2697836458683014,0.925488293170929,0.2762484550476074,0.925000011920929,1e-06
44,0.26307299733161926,0.927441418170929,0.27826225757598877,0.9253906011581421,1e-06
45,0.269800066947937,0.925976574420929,0.27802416682243347,0.9263020753860474,1e-06
46,0.2694966495037079,0.9251301884651184,0.27427196502685547,0.9255208373069763,1e-06
47,0.2726020812988281,0.9235677123069763,0.2787854075431824,0.924609363079071,1e-06
48,0.26444557309150696,0.927539050579071,0.277313768863678,0.9243489503860474,1e-06
49,0.2674051523208618,0.924609363079071,0.2776336967945099,0.9263020753860474,1e-06
